method,n_clusters,ari,nmi
PCA+Leiden,16,0.2401585862360191,0.5768135656829017
PCA+Louvain,18,0.1869952103639393,0.5487182775830163
PCA+KMeans,4,0.6028569380529721,0.7015602591566504
